Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League,keys
<a href=https://npb.jp/bis/eng/players/51455130.html>Nakamura Shogo</a>,2.0,8.0,7.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.286,0.375,0.714,1.089,225,0.429,0.250,37.5%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('中村 奨吾', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/11215116.html>Nakamura Akira</a>,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('中村 晃', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,2.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.222,-32,0.000,0.125,11.1%,11.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('中野 拓夢', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/21425116.html>Maru Yoshihiro</a>,6.0,25.0,24.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.208,0.240,0.250,0.490,53,0.042,0.250,20.0%,16.0%,4.0%,0.25,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('丸 佳浩', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/51355151.html>Inoue Haruto</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('井上 温大', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/31335131.html>Imamiya Kenta</a>,9.0,37.0,34.0,4.0,14.0,4.0,0.0,1.0,21.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.412,0.405,0.618,1.023,209,0.206,0.481,21.6%,16.2%,2.7%,0.17,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('今宮 健太', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/81185116.html>Itoh Hikaru</a>,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.000,0.250,0.000,0.250,-16,0.000,0.000,25.0%,0.0%,25.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('伊藤 光', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/61065137.html>Fushimi Torai</a>,4.0,10.0,9.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.222,0.200,0.556,0.756,122,0.333,0.143,20.0%,10.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('伏見 寅威', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/51955159.html>Sasaki Shunsuke</a>,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('佐々木 俊輔', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/41045153.html>Sato Teruaki</a>,2.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.125,0.125,0.250,0.375,14,0.125,0.333,62.5%,62.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('佐藤 輝明', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/71075151.html>Satoh Toshiya</a>,3.0,12.0,11.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.182,0.250,0.273,0.523,60,0.091,0.222,25.0%,16.7%,8.3%,0.50,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('佐藤 都志也', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/91995134.html>Sano Keita</a>,13.0,52.0,46.0,4.0,10.0,2.0,0.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,4.0,0.217,0.308,0.391,0.699,114,0.174,0.211,21.2%,11.5%,5.8%,0.50,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('佐野 恵太', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21825155.html>Maegawa Ukyo</a>,2.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.143,0.250,0.143,0.393,26,0.000,0.250,37.5%,37.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('前川 右京', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/61065131.html>Haraguchi Fumihito</a>,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,2.000,2.500,660,1.500,0.000,50.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('原口 文仁', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/71275157.html>Tomosugi Atsuki</a>,3.0,12.0,11.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.250,0.364,0.614,86,0.091,0.273,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('友杉 篤輝', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/33535157.html>Yoshino Teruki</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('吉野 光樹', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21925136.html>Shuto Ukyo</a>,9.0,35.0,32.0,3.0,8.0,1.0,0.0,0.0,9.0,2.0,2.0,1.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.250,0.286,0.281,0.567,75,0.031,0.320,28.6%,22.9%,5.7%,0.25,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('周東 佑京', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/71075153.html>Sakamoto Hayato</a>,6.0,19.0,17.0,2.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.353,0.421,0.412,0.833,162,0.059,0.429,26.3%,15.8%,10.5%,0.67,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('坂本 勇人', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/11915132.html>Sakamoto Seishiro</a>,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000,0.333,0.000,0.333,12,0.000,0.000,66.7%,33.3%,33.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('坂本 誠志郎', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51855132.html>Masuda Daiki</a>,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.000,0.250,0.000,0.250,-16,0.000,0.000,75.0%,50.0%,25.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('増田 大輝', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/21325136.html>Ohshiro Takumi</a>,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.000,0.111,0.000,0.111,-64,0.000,0.000,44.4%,33.3%,11.1%,0.33,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('大城 卓三', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,2.0,8.0,8.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.250,0.250,0.250,0.500,58,0.000,0.286,12.5%,12.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('大山 悠輔', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/01305138.html>Ohnuki Shinichi</a>,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,75.0%,75.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('大貫 晋一', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/31435157.html>Narama Taiki</a>,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('奈良間 大己', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/81885136.html>Yasuda Hisanori</a>,1.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.500,0.500,1.250,1.750,416,0.750,0.500,50.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('安田 尚憲', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/51455137.html>Miyazaki Toshiro</a>,14.0,58.0,54.0,3.0,10.0,6.0,0.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,0.185,0.241,0.352,0.593,80,0.167,0.214,25.9%,19.0%,5.2%,0.27,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('宮﨑 敏郎', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/31535138.html>Obata Ryuhei</a>,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('小幡 竜平', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/91795139.html>Kobayashi Seiji</a>,2.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.667,0.750,0.667,1.417,346,0.000,1.000,50.0%,25.0%,25.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('小林 誠司', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/21425139.html>Yamakawa Hotaka</a>,9.0,35.0,34.0,7.0,9.0,2.0,0.0,4.0,23.0,9.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.265,0.286,0.676,0.962,186,0.412,0.263,45.7%,31.4%,2.9%,0.09,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('山川 穂高', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/03305153.html>Yamasaki Iori</a>,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('山﨑 伊織', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/11515139.html>Oka Hiromi</a>,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,11.1%,11.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('岡 大海', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/11515130.html>Okamoto Kazuma</a>,6.0,24.0,18.0,1.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,1.0,0.222,0.417,0.389,0.806,154,0.167,0.231,45.8%,16.7%,25.0%,1.50,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('岡本 和真', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91595136.html>Kishida Yukinori</a>,4.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.000,0.167,0.000,0.167,-44,0.000,0.000,33.3%,16.7%,16.7%,1.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('岸田 行倫', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91995136.html>Shimada Kairi</a>,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,1.000,nan,nan,nan,nan,,100.0%,0.0%,100.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('島田 海吏', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/71475139.html>Minei Hiroki</a>,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,106,0.000,0.500,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('嶺井 博希', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/11715132.html>Kawase Hikaru</a>,3.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,106,0.000,0.400,16.7%,16.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('川瀬 晃', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/31535132.html>Takeda Aito</a>,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('愛斗', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/41245132.html>Tobashira Yasutaka</a>,13.0,50.0,48.0,6.0,15.0,3.0,0.0,1.0,21.0,7.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.312,0.340,0.438,0.778,137,0.125,0.359,22.0%,16.0%,4.0%,0.25,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('戸柱 恭孝', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/41045138.html>Togo Shosei</a>,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('戸郷 翔征', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('才木 浩人', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51155130.html>Arihara Kohei</a>,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.250,0.250,0.250,0.500,55,0.000,0.333,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('有原 航平', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/31735138.html>Kinami Seiya</a>,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.250,0.500,0.250,0.750,144,0.000,0.500,66.7%,33.3%,33.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('木浪 聖也', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,208,0.000,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('東 克樹', 'DeNA BayStars')"
